id,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
159,3641726,K00804.01,Kepler-1727 b,CONFIRMED,CANDIDATE,,,,,,9.029305,5.6e-05,-5.6e-05,177.2039,0.0021,-0.0021,0.47,0.58,-0.58,3.1352,,,1015,,,2.6,1.4,-1.4,756.0,,,,,,58.5,,,5331.0,100.0,-100.0,4.52,0.3,-0.3,0.82,0.42,-0.42,290.33362,38.72823,15.387
160,8247638,K00907.03,Kepler-251 b,CONFIRMED,CANDIDATE,,,,,,4.790873,8.5e-05,-8.5e-05,136.3118,0.0063,-0.0063,0.789,0.1,-0.1,2.8012,,,190,,,1.66,0.72,-0.72,1153.0,,,,,,22.8,,,5870.0,124.0,-124.0,4.34,0.3,-0.3,1.09,0.47,-0.47,296.56622,44.105862,15.223
161,8255887,K00908.01,Kepler-720 b,CONFIRMED,CANDIDATE,,,,,,4.708327,2.4e-06,-2.4e-06,171.44572,0.00016,-0.00016,0.02,0.31,-0.31,3.1677,,,7958,,,8.5,4.8,-4.8,1044.0,,,,,,750.0,,,5475.0,120.0,-120.0,4.38,0.3,-0.3,0.97,0.55,-0.55,298.63565,44.17094,15.113
162,8414716,K00910.01,Kepler-721 b,CONFIRMED,CANDIDATE,,,,,,5.392066,2.3e-05,-2.3e-05,171.7242,0.0014,-0.0014,0.79,0.13,-0.13,3.1037,,,1182,,,2.67,0.99,-0.99,796.0,,,,,,84.9,,,5110.0,102.0,-102.0,4.65,0.3,-0.3,0.7,0.26,-0.26,284.43051,44.48053,15.651
163,8490993,K00911.02,Kepler-722 c,CONFIRMED,CANDIDATE,,,,,,105.152,0.0022,-0.0022,178.3481,0.0094,-0.0094,0.6,0.7,-0.7,5.8515,,,747,,,2.7,1.0,-1.0,391.0,,,,,,14.5,,,6050.0,108.0,-108.0,4.5,0.3,-0.3,0.95,0.32,-0.32,290.26328,44.55645,15.399
164,8505670,K00912.01,Kepler-252 c,CONFIRMED,CANDIDATE,,,,,,10.848507,3.1e-05,-3.1e-05,171.8036,0.001,-0.001,0.29,0.75,-0.75,2.9606,,,1651,,,2.3,0.29,-0.29,519.0,,,,,,116.1,,,4397.0,67.0,-67.0,4.7,0.3,-0.3,0.58,0.012,-0.012,295.57935,44.545959,15.058
165,8544996,K00913.01,Kepler-723 b,CONFIRMED,CANDIDATE,,,,,,4.08227693,8.1e-07,-8.1e-07,169.636703,6.4e-05,-6.4e-05,0.027,0.1,-0.1,3.2244,,,17972,,,11.1,5.3,-5.3,1037.0,,,,,,2131.5,,,5679.0,80.0,-80.0,4.57,0.3,-0.3,0.84,0.4,-0.4,284.83047,44.658138,15.198
166,5809890,K01050.01,Kepler-755 b,CONFIRMED,CANDIDATE,,,,,,1.269095,4.4e-06,-4.4e-06,133.34169,0.00067,-0.00067,0.6,0.12,-0.12,1.5236,,,336,,,1.4,1.1,-1.1,1350.0,,,,,,90.3,,,5088.0,78.0,-78.0,4.55,0.3,-0.3,0.76,0.55,-0.55,296.86099,41.09734,13.999
167,6131236,K01051.01,Kepler-1734 b,CONFIRMED,CANDIDATE,,,,,,6.796859,8e-05,-8e-05,138.1135,0.0043,-0.0043,0.929,0.1,-0.1,3.3384,,,394,,,2.31,0.87,-0.87,976.0,,,,,,34.1,,,6050.0,116.0,-116.0,4.5,0.3,-0.3,0.95,0.36,-0.36,294.16321,41.451801,15.391
168,3935914,K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,,,,,,1.59474469,4.4e-07,-4.4e-07,170.647698,6.7e-05,-6.7e-05,0.494,0.1,-0.1,1.9519,,,15193,,,12.1,5.9,-5.9,1569.0,,,,,,1240.3,,,5973.0,107.0,-107.0,4.48,0.3,-0.3,0.96,0.46,-0.46,285.21381,39.027481,15.53
169,3940418,K00810.01,Kepler-1728 b,CONFIRMED,CANDIDATE,,,,,,4.783,1.8e-05,-1.8e-05,170.508,0.0012,-0.0012,0.74,0.45,-0.45,2.4966,,,1023,,,2.6,1.4,-1.4,864.0,,,,,,84.9,,,5073.0,95.0,-95.0,4.57,0.3,-0.3,0.74,0.39,-0.39,287.09399,39.060719,15.119
170,4049131,K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,,,,,,20.505935,9.2e-05,-9.2e-05,181.4332,0.0015,-0.0015,0.79,0.13,-0.13,4.3352,,,2229,,,3.6,1.1,-1.1,493.0,,,,,,104.1,,,4869.0,76.0,-76.0,4.61,0.3,-0.3,0.69,0.2,-0.2,289.31543,39.153278,15.398
171,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,,,,,,46.18288,0.00091,-0.00091,165.2447,0.0074,-0.0074,0.2,0.11,-0.11,4.4993,,,1410,,,2.0,0.39,-0.39,303.0,,,,,,28.8,,,4243.0,82.0,-82.0,4.72,0.3,-0.3,0.552,0.014,-0.014,286.07913,39.27832,15.954
172,4275191,K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,,,,,,3.8959309,2.7e-06,-2.7e-06,170.52709,0.00021,-0.00021,0.51,0.14,-0.14,2.3271,,,8650,,,7.7,2.6,-2.6,1025.0,,,,,,406.3,,,5582.0,95.0,-95.0,4.58,0.3,-0.3,0.81,0.28,-0.28,294.65524,39.308361,15.725
173,4476123,K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,,,,,,22.36658,0.00031,-0.00031,175.4538,0.0047,-0.0047,0.815,0.1,-0.1,5.5757,,,1022,,,2.8,1.1,-1.1,545.0,,,,,,33.8,,,5424.0,79.0,-79.0,4.6,0.3,-0.3,0.77,0.29,-0.29,294.71063,39.52174,15.583
174,11086270,K00124.02,Kepler-110 c,CONFIRMED,CANDIDATE,,,,,,31.71987,0.00032,-0.00032,142.819,0.0038,-0.0038,0.918,0.1,-0.1,5.3504,,,359,,,3.59,0.48,-0.48,731.0,,,,,,70.4,,,5899.0,50.0,-50.0,4.07,0.1,-0.1,1.58,0.21,-0.21,292.92914,48.60281,12.935
175,8628973,K00916.01,Kepler-724 b,CONFIRMED,CANDIDATE,,,,,,3.3149523,6.7e-06,-6.7e-06,171.312,0.00061,-0.00061,0.895,0.1,-0.1,1.9184,,,1418,,,4.0,1.9,-1.9,1128.0,,,,,,130.3,,,5513.0,107.0,-107.0,4.48,0.3,-0.3,0.88,0.43,-0.43,293.45483,44.792789,15.142
176,8672910,K00918.01,Kepler-725 b,CONFIRMED,CANDIDATE,,,,,,39.643231,3.4e-05,-3.4e-05,206.59675,0.00027,-0.00027,0.0,0.22,-0.22,6.5002,,,15511,,,10.1,4.0,-4.0,476.0,,,,,,886.0,,,5526.0,98.0,-98.0,4.54,0.3,-0.3,0.83,0.33,-0.33,283.97751,44.811562,15.011
177,8689031,K00920.01,Kepler-726 b,CONFIRMED,CANDIDATE,,,,,,21.80441,0.00014,-0.00014,190.4969,0.0023,-0.0023,0.71,0.98,-0.98,3.3299,,,1145,,,2.92,0.94,-0.94,571.0,,,,,,56.9,,,5551.0,74.0,-74.0,4.59,0.3,-0.3,0.81,0.17,-0.17,291.71732,44.88731,15.067
178,5956342,K01052.04,Kepler-265 d,CONFIRMED,CANDIDATE,,,,,,43.13042,0.00082,-0.00082,166.2751,0.0093,-0.0093,0.896,0.1,-0.1,3.1982,,,421,,,2.57,0.95,-0.95,573.0,,,,,,13.4,,,6315.0,122.0,-122.0,4.44,0.3,-0.3,1.07,0.39,-0.39,290.51047,41.24482,15.381
