,id,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
533,2851,6364276,K02873.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,5.243903,6.8e-05,-6.8e-05,132.7021,0.0092,-0.0092,0.02,0.15,-0.15,9.083,,,166,,,0.67,0.32,-0.32,611.0,,,,,,23.8,,,4171.0,71.0,-71.0,4.73,0.3,-0.3,0.541,0.011,-0.011,291.89893,41.744492,15.29
534,2857,7051984,K02879.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.3390709,5.5e-06,-5.5e-06,131.86678,0.00076,-0.00076,0.314,0.1,-0.1,1.1581,,,42,,,1.43,0.2,-0.2,3560.0,,,,,,45.4,,,5601.0,92.0,-92.0,3.86,0.3,-0.3,2.08,0.29,-0.29,296.7019,42.508652,12.771
535,2860,7812455,K02881.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.4517915,1.4e-07,-1.4e-07,133.68383,0.00015,-0.00015,0.18,0.68,-0.68,1.1852,,,1201,,,3.8,1.4,-1.4,2767.0,,,,,,287.9,,,6466.0,113.0,-113.0,4.41,0.3,-0.3,1.13,0.41,-0.41,288.17081,43.501202,14.811
536,2862,9965184,K02428.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,16.22766,0.00013,-0.00013,136.6279,0.0062,-0.0062,0.22,0.81,-0.81,3.8762,,,633,,,2.6,1.3,-1.3,661.0,,,,,,23.5,,,5130.0,200.0,-200.0,4.38,0.3,-0.3,1.07,0.3,-0.3,297.18564,46.825298,15.388
537,2870,6864885,K02434.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,40.87795,0.00053,-0.00053,163.4231,0.0088,-0.0088,0.03,0.25,-0.25,7.3128,,,553,,,2.1,1.4,-1.4,526.0,,,,,,21.4,,,5918.0,133.0,-133.0,4.49,0.3,-0.3,0.94,0.43,-0.43,292.35745,42.389149,15.59
538,2876,5956787,K02616.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.56911554,8.9e-07,-8.9e-07,132.01879,0.00021,-0.00021,1.335,0.1,-0.1,2.8115,,,3462,,,43.65,,,2236.0,,,,,,219.6,,,5780.0,,,4.44,,,1.0,,,290.65125,41.234505,12.093
539,2891,8687088,K02749.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.9050391,2.4e-06,-2.4e-06,132.2144,0.0013,-0.0013,0.022,0.1,-0.1,1.4134,,,33,,,0.62,,,2014.0,,,,,,23.1,,,6020.0,,,4.38,,,1.093,,,291.00287,44.899452,11.075
540,2894,5717567,K02752.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.2876248,3.1e-06,-3.1e-06,132.4287,0.0013,-0.0013,0.84,0.61,-0.61,0.8978,,,50,,,0.93,0.58,-0.58,1844.0,,,,,,21.4,,,6107.0,58.0,-58.0,4.36,0.3,-0.3,1.12,0.6,-0.6,295.32401,40.902191,11.514
541,2902,9652649,K02884.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.488966,2.3e-05,-2.3e-05,132.0902,0.0061,-0.0061,0.09,0.98,-0.98,4.5705,,,58,,,0.64,0.37,-0.37,1245.0,,,,,,18.2,,,5642.0,77.0,-77.0,4.51,0.3,-0.3,0.88,0.36,-0.36,293.25812,46.305729,14.103
542,2903,11100670,K02885.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,20.23381,0.00017,-0.00017,141.3922,0.0061,-0.0061,0.39,1.0,-1.0,3.8265,,,318,,,1.39,0.75,-0.75,549.0,,,,,,20.7,,,5322.0,200.0,-200.0,4.63,0.3,-0.3,0.79,0.3,-0.3,298.76404,48.64492,13.776
543,2905,3859363,K02887.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.5685982,5.6e-06,-5.6e-06,131.6375,0.0022,-0.0022,0.3162,0.1,-0.1,3.0018,,,321,,,1.85,0.87,-0.87,1689.0,,,,,,34.3,,,6270.0,130.0,-130.0,4.45,0.3,-0.3,1.04,0.49,-0.49,293.81381,38.926201,15.105
544,2906,12023078,K02888.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.6234426,3.8e-06,-3.8e-06,131.98911,0.00049,-0.00049,0.965,0.1,-0.1,1.0742,,,124,,,4.55,0.38,-0.38,3249.0,,,,,,60.9,,,5398.0,81.0,-81.0,3.64,0.3,-0.3,2.98,0.19,-0.19,296.58734,50.490761,12.65
545,2907,6364162,K02889.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,5.243629,7.4e-05,-7.4e-05,132.721,0.01,-0.01,0.11,0.82,-0.82,9.8991,,,129,,,1.19,0.75,-0.75,1146.0,,,,,,22.6,,,6190.0,134.0,-134.0,4.41,0.3,-0.3,1.07,0.48,-0.48,291.85898,41.728489,15.163
546,2918,9850957,K02446.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,8.480238,5.2e-05,-5.2e-05,135.8636,0.0044,-0.0044,0.03,0.23,-0.23,6.4612,,,162,,,1.53,0.98,-0.98,1091.0,,,,,,34.7,,,6561.0,98.0,-98.0,4.34,0.3,-0.3,1.24,0.51,-0.51,298.74857,46.68047,13.124
547,2924,10031656,K02629.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,8.59004,0.0001,-0.0001,131.9688,0.0085,-0.0085,0.88,0.71,-0.71,6.2875,,,299,,,1.81,0.94,-0.94,835.0,,,,,,18.0,,,5805.0,103.0,-103.0,4.55,0.3,-0.3,0.87,0.37,-0.37,298.75491,46.941589,15.408
548,2925,11495766,K02630.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.175069,7e-05,-7e-05,134.1584,0.01,-0.01,0.32,0.8,-0.8,4.2508,,,41,,,0.53,0.32,-0.32,1082.0,,,,,,6.2,,,5870.0,93.0,-93.0,4.54,0.3,-0.3,0.89,0.39,-0.39,285.22531,49.424179,13.391
549,2928,7584650,K02631.02,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.95383,0.00013,-0.00013,133.418,0.011,-0.011,0.921,0.1,-0.1,2.365,,,48,,,0.99,0.79,-0.79,1323.0,,,,,,4.0,,,6132.0,76.0,-76.0,4.31,0.3,-0.3,1.2,0.95,-0.95,282.23969,43.244049,13.468
550,2939,8703129,K02758.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,253.3529,0.0018,-0.0018,235.7661,0.0043,-0.0043,0.938,0.1,-0.1,25.3326,,,1528,,,32.3,3.9,-3.9,573.0,,,,,,183.5,,,5133.0,90.0,-90.0,3.14,0.3,-0.3,6.34,0.76,-0.76,296.7236,44.853142,11.893
551,2942,7903086,K02761.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.8468499,4.9e-06,-4.9e-06,131.9075,0.0019,-0.0019,0.32,0.84,-0.84,1.7151,,,585,,,1.9,1.1,-1.1,1246.0,,,,,,37.0,,,5380.0,200.0,-200.0,4.62,0.3,-0.3,0.8,0.3,-0.3,295.77368,43.671951,15.881
552,2947,11188249,K02765.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.755038,1.3e-05,-1.3e-05,133.4253,0.0032,-0.0032,0.08,0.82,-0.82,3.4449,,,83,,,0.9,,,1358.0,,,,,,27.4,,,5923.0,,,4.416,,,1.026,,,290.63736,48.883133,13.883
553,2948,10068024,K02891.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.0231294,5.8e-06,-5.8e-06,132.0709,0.0018,-0.0018,0.77,0.65,-0.65,1.3357,,,73,,,1.04,0.48,-0.48,1609.0,,,,,,20.7,,,6348.0,140.0,-140.0,4.42,0.3,-0.3,1.09,0.4,-0.4,288.84711,47.022911,13.126
