,id,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
644,3458,6115516,K03134.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.8657594,2.9e-06,-2.9e-06,131.5769,0.0021,-0.0021,0.84,0.54,-0.54,0.8634,,,213,,,1.74,0.68,-0.68,1992.0,,,,,,21.8,,,6000.0,200.0,-200.0,4.46,0.3,-0.3,1.02,0.3,-0.3,289.25012,41.484871,15.232
645,3460,5872150,K00414.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,20.3550856,5.1e-06,-5.1e-06,175.343141,8.5e-05,-8.5e-05,0.475,0.1,-0.1,5.289,,,25382,,,17.0,7.6,-7.6,711.0,,,,,,2261.3,,,6042.0,120.0,-120.0,4.41,0.3,-0.3,1.05,0.47,-0.47,290.42538,41.139149,14.557
646,3467,7975727,K00418.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,22.41833,1.2e-05,-1.2e-05,172.7962,0.00019,-0.00019,0.8099,0.1,-0.1,5.336,,,12009,,,10.8,5.4,-5.4,580.0,,,,,,1066.0,,,5353.0,77.0,-77.0,4.46,0.3,-0.3,0.88,0.43,-0.43,296.89938,43.707218,14.479
647,3475,9636569,K00527.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,10.636288,3.7e-05,-3.7e-05,171.69,0.0024,-0.0024,0.032,0.1,-0.1,3.8987,,,380,,,1.72,0.99,-0.99,801.0,,,,,,46.8,,,5897.0,76.0,-76.0,4.53,0.3,-0.3,0.9,0.33,-0.33,285.3385,46.309872,14.433
648,3481,5702939,K03000.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,18.39902,0.00021,-0.00021,144.8759,0.0083,-0.0083,0.26,0.81,-0.81,3.8671,,,125,,,1.03,0.59,-0.59,686.0,,,,,,14.0,,,5945.0,89.0,-89.0,4.5,0.3,-0.3,0.94,0.38,-0.38,290.97223,40.994678,14.168
649,3482,11709423,K03001.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.38446929,4.2e-07,-4.2e-07,131.7366,0.00047,-0.00047,0.87,0.58,-0.58,0.9291,,,780,,,3.0,1.1,-1.1,2146.0,,,,,,87.3,,,5187.0,200.0,-200.0,4.53,0.3,-0.3,0.88,0.3,-0.3,289.92453,49.882469,15.503
650,3484,11255231,K03003.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,13.65517,0.00014,-0.00014,137.5223,0.0075,-0.0075,0.85,0.67,-0.67,4.2684,,,215,,,1.64,0.98,-0.98,778.0,,,,,,16.1,,,6059.0,104.0,-104.0,4.49,0.3,-0.3,0.97,0.42,-0.42,296.61996,48.9058,14.818
651,3486,3747262,K03005.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.3124652,5.2e-06,-5.2e-06,132.2214,0.0024,-0.0024,0.83,0.64,-0.64,1.4817,,,43,,,0.96,0.4,-0.4,2067.0,,,,,,18.8,,,6550.0,84.0,-84.0,4.31,0.3,-0.3,1.28,0.32,-0.32,291.534,38.816261,12.524
652,3487,8758136,K03006.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.9982186,5.3e-06,-5.3e-06,131.8183,0.0034,-0.0034,0.6,0.68,-0.68,1.78,,,134,,,1.22,0.88,-0.88,1863.0,,,,,,16.9,,,6050.0,133.0,-133.0,4.48,0.3,-0.3,0.97,0.54,-0.54,293.61337,44.975422,15.544
653,3492,9899352,K03135.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.33256,8.5e-06,-8.5e-06,132.0503,0.0043,-0.0043,0.028,0.1,-0.1,4.2224,,,235,,,1.26,0.59,-0.59,1514.0,,,,,,28.6,,,5688.0,95.0,-95.0,4.57,0.3,-0.3,0.84,0.22,-0.22,295.21036,46.749321,15.846
654,3497,5640511,K03139.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.636244,3e-06,-3e-06,131.96884,0.00093,-0.00093,0.886,0.1,-0.1,4.0,,,11,,,1.89,0.57,-0.57,3455.0,,,,,,120.8,,,7113.0,104.0,-104.0,4.01,0.3,-0.3,2.06,0.6,-0.6,297.15662,40.898788,11.29
655,3501,7336093,K03143.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.4040248,,,134.00341,,,0.3162,0.1,-0.1,2.4108,,,58,,,0.45,0.01,-0.01,728.0,,,,,,4.9,,,4512.0,70.0,-70.0,4.68,0.3,-0.3,0.602,0.014,-0.014,281.11948,42.9944,14.814
656,3526,3328052,K03011.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.115486,1.7e-05,-1.7e-05,132.01,0.006,-0.006,0.03,0.21,-0.21,3.7592,,,329,,,1.56,0.92,-0.92,1367.0,,,,,,25.5,,,5968.0,200.0,-200.0,4.57,0.3,-0.3,0.89,0.3,-0.3,287.19815,38.42897,15.542
657,3527,7109851,K03012.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.0864865,2.9e-06,-2.9e-06,131.9644,0.0017,-0.0017,0.95,0.79,-0.79,1.0041,,,68,,,2.17,0.89,-0.89,2489.0,,,,,,26.3,,,5946.0,93.0,-93.0,3.91,0.3,-0.3,1.98,0.45,-0.45,289.32925,42.655811,12.988
658,3531,10617638,K03016.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.7108964,2.3e-06,-2.3e-06,132.0495,0.0016,-0.0016,0.5,0.78,-0.78,1.1796,,,107,,,1.03,0.59,-0.59,2045.0,,,,,,19.1,,,5760.0,107.0,-107.0,4.43,0.3,-0.3,0.97,0.44,-0.44,297.94925,47.816399,14.55
659,3534,7906671,K03018.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,45.11798,0.00046,-0.00046,156.9875,0.0068,-0.0068,0.97,0.2,-0.2,3.0669,,,341,,,2.6,1.3,-1.3,507.0,,,,,,16.1,,,5559.0,99.0,,4.37,0.3,-0.3,1.0,0.47,-0.47,296.78445,43.619011,14.72
660,3540,10611420,K03148.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,11.505399,8.8e-05,-8.8e-05,135.0981,0.0055,-0.0055,0.69,0.81,-0.81,2.5,,,288,,,1.9,1.2,-1.2,896.0,,,,,,14.3,,,6354.0,129.0,-129.0,4.44,0.3,-0.3,1.07,0.52,-0.52,296.11734,47.879829,15.191
661,3541,10196493,K03149.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,9.81102,0.0002,-0.0002,134.187,0.015,-0.015,0.9,0.7,-0.7,2.0861,,,61,,,0.95,0.67,-0.67,864.0,,,,,,4.8,,,5799.0,90.0,-90.0,4.41,0.3,-0.3,1.0,0.55,-0.55,286.65024,47.242329,14.656
662,3566,11913012,K00544.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.7478426,9.9e-06,-9.9e-06,171.6648,0.0018,-0.0018,0.027,0.1,-0.1,3.6465,,,423,,,2.0,1.1,-1.1,1215.0,,,,,,58.4,,,6111.0,121.0,-121.0,4.49,0.3,-0.3,0.97,0.38,-0.38,291.02252,50.259109,14.763
663,3571,3348285,K03021.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.8038344,2.7e-06,-2.7e-06,131.803,0.0016,-0.0016,0.32,0.86,-0.86,1.3296,,,56,,,0.77,0.42,-0.42,2080.0,,,,,,17.4,,,6235.0,95.0,-95.0,4.46,0.3,-0.3,1.03,0.42,-0.42,292.97775,38.42078,13.7
664,3574,7732285,K03023.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.390475,1.9e-05,-1.9e-05,134.1307,0.0027,-0.0027,0.12,0.8,-0.8,3.1216,,,97,,,1.13,,,1269.0,,,,,,28.7,,,6202.0,,,4.354,,,1.184,,,282.25177,43.493759,13.33
665,3575,12833566,K03024.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.537844,1.6e-05,-1.6e-05,131.5823,0.0029,-0.0029,0.36,0.25,-0.25,1.6092,,,21,,,0.57,,,2668.0,,,,,,11.2,,,6366.0,,,4.333,,,1.264,,,289.46765,52.19809,10.923
667,3600,3340312,K00441.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,30.55296,0.0001,-0.0001,173.903,0.0023,-0.0023,0.03,0.14,-0.14,3.5999,,,812,,,3.1,1.9,-1.9,664.0,,,,,,43.6,,,6432.0,110.0,-110.0,4.42,0.3,-0.3,1.1,0.46,-0.46,290.96353,38.472542,14.532
668,3611,5122112,K00552.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.05517,2.1e-06,-2.1e-06,171.0984,0.0002,-0.0002,0.867,0.1,-0.1,1.6028,,,7885,,,11.0,4.3,-4.3,1384.0,,,,,,467.7,,,6283.0,128.0,-128.0,4.43,0.3,-0.3,1.07,0.42,-0.42,297.39825,40.229191,14.741
669,3612,5303551,K00553.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.399059,7.5e-06,-7.5e-06,171.4559,0.0021,-0.0021,0.01,0.15,-0.15,3.2882,,,401,,,1.9,1.2,-1.2,1335.0,,,,,,47.9,,,5620.0,121.0,-121.0,4.39,0.3,-0.3,0.99,0.41,-0.41,298.57642,40.491669,14.888
670,3614,9838804,K03028.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.332597,9.8e-06,-9.8e-06,132.0216,0.0053,-0.0053,0.31,0.89,-0.89,2.7568,,,206,,,1.07,0.59,-0.59,1349.0,,,,,,18.9,,,5340.0,200.0,-200.0,4.67,0.3,-0.3,0.75,0.3,-0.3,294.96246,46.676289,15.983
671,3617,5524881,K03030.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,7.195425,9.5e-05,-9.5e-05,136.037,0.01,-0.01,0.37,0.82,-0.82,4.0944,,,229,,,1.49,0.8,-0.8,961.0,,,,,,15.6,,,5988.0,200.0,-200.0,4.48,0.3,-0.3,0.99,0.3,-0.3,289.09106,40.751122,15.614
672,3620,7186665,K03033.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,8.559432,8.4e-05,-8.4e-05,137.2173,0.0069,-0.0069,0.44,0.86,-0.86,4.5373,,,138,,,1.19,0.74,-0.74,946.0,,,,,,18.9,,,6168.0,92.0,-92.0,4.46,0.3,-0.3,1.02,0.48,-0.48,287.12234,42.70694,14.538
673,3630,9641041,K00324.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.08907779,8.9e-07,-8.9e-07,171.23037,0.00048,-0.00048,0.17,0.56,-0.56,2.4867,,,158,,,1.3,0.44,-0.44,1913.0,,,,,,139.8,,,6282.0,60.0,-60.0,4.45,0.3,-0.3,1.05,0.32,-0.32,288.02454,46.30587,12.217
674,3631,9724984,K00325.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,7.863362,2.8e-05,-2.8e-05,171.0017,0.0012,-0.0012,0.979,0.1,-0.1,3.3105,,,484,,,5.4,1.7,-1.7,1134.0,,,,,,101.8,,,5535.0,130.0,-130.0,3.98,0.3,-0.3,1.66,0.31,-0.31,297.30969,46.449471,12.94
675,3642,5021176,K00447.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.0450494,6.7e-06,-6.7e-06,172.6824,0.001,-0.001,0.018,0.1,-0.1,2.2018,,,741,,,2.6,1.8,-1.8,1158.0,,,,,,66.2,,,5972.0,106.0,-106.0,4.47,0.3,-0.3,0.97,0.47,-0.47,294.58817,40.165051,14.865
676,3649,5738496,K00556.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,9.501604,3.8e-05,-3.8e-05,175.6679,0.0027,-0.0027,0.03,0.21,-0.21,3.6771,,,641,,,2.2,1.9,-1.9,840.0,,,,,,43.2,,,5924.0,105.0,-105.0,4.53,0.3,-0.3,0.91,0.65,-0.65,299.67938,40.965141,14.799
677,3652,6422367,K00559.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.331346,6.8e-05,-6.8e-05,173.7013,0.0051,-0.0051,0.917,0.1,-0.1,2.9318,,,223,,,1.61,0.97,-0.97,1013.0,,,,,,25.2,,,5423.0,76.0,-76.0,4.47,0.3,-0.3,0.88,0.53,-0.53,283.4711,41.873211,14.791
678,3655,6681233,K00562.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,32.63286247,,,177.22208,,,0.7657,0.1,-0.1,3.0758,,,41,,,0.56,0.18,-0.18,495.0,,,,,,1.7,,,5519.0,78.0,-78.0,4.59,0.3,-0.3,0.8,0.26,-0.26,288.63629,42.138191,14.949
679,3656,6388770,K03035.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,21.3412,0.00047,-0.00047,134.122,0.015,-0.015,0.54,0.72,-0.72,10.7326,,,101,,,1.42,0.77,-0.77,827.0,,,,,,15.2,,,6340.0,121.0,-121.0,4.22,0.3,-0.3,1.39,0.38,-0.38,298.36188,41.781109,13.87
680,3657,3438975,K00300.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.9760145,6.4e-06,-6.4e-06,171.66,0.0014,-0.0014,0.019,0.1,-0.1,4.0275,,,119,,,1.57,0.85,-0.85,1577.0,,,,,,71.8,,,5984.0,75.0,-75.0,4.13,0.3,-0.3,1.46,0.47,-0.47,290.12018,38.50951,12.302
681,3658,5217891,K03036.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,161.2287,0.0037,-0.0037,189.151,0.016,-0.016,0.03,0.12,-0.12,18.2139,,,1186,,,2.6,1.5,-1.5,288.0,,,,,,23.6,,,5482.0,124.0,-124.0,4.59,0.3,-0.3,0.79,0.27,-0.27,298.97055,40.382729,15.648
682,3670,10031885,K00329.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,8.58962,3.2e-05,-3.2e-05,174.9617,0.0025,-0.0025,0.027,0.1,-0.1,5.9832,,,261,,,1.5,0.89,-0.89,899.0,,,,,,54.5,,,6037.0,75.0,-75.0,4.5,0.3,-0.3,0.95,0.35,-0.35,298.81821,46.94035,13.478
684,3685,7385509,K00675.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.6554664,1.3e-06,-1.3e-06,169.54768,0.00052,-0.00052,0.022,0.1,-0.1,3.3687,,,1736,,,2.76,,,999.0,,,,,,225.3,,,4173.0,,,4.563,,,0.678,,,297.74799,42.995205,13.841
685,3699,10489525,K00106.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.6122513,1.1e-06,-1.1e-06,131.85045,0.00047,-0.00047,0.48,0.87,-0.87,3.0177,,,409,,,5.0,1.4,-1.4,2618.0,,,,,,197.6,,,6731.0,133.0,-133.0,3.87,0.3,-0.3,2.41,0.6,-0.6,298.35434,47.672081,12.775
686,3727,9053112,K00702.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.2748374,2.8e-06,-2.8e-06,169.8738,0.0014,-0.0014,0.031,0.1,-0.1,6.3516,,,255,,,4.27,0.67,-0.67,2432.0,,,,,,109.5,,,5331.0,103.0,-103.0,3.69,0.3,-0.3,2.78,0.39,-0.39,300.72702,45.305538,13.759
687,3728,9162741,K00703.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.3686106,8.4e-06,-8.4e-06,169.9527,0.0013,-0.0013,0.45,0.15,-0.15,1.6712,,,137,,,1.33,,,1866.0,,,,,,54.4,,,6178.0,,,4.357,,,1.172,,,294.91202,45.566685,13.361
688,3748,9640976,K00712.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.1781458,3.8e-06,-3.8e-06,171.2327,0.001,-0.001,0.11,0.83,-0.83,2.1768,,,173,,,1.08,0.5,-0.5,1280.0,,,,,,47.6,,,5674.0,66.0,-66.0,4.57,0.3,-0.3,0.84,0.23,-0.23,287.99124,46.35688,13.72
689,3749,9640985,K00713.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.1781502,1.6e-06,-1.6e-06,171.23127,0.00046,-0.00046,0.21,0.88,-0.88,2.4795,,,513,,,2.9,1.4,-1.4,1803.0,,,,,,144.8,,,6818.0,113.0,-113.0,4.33,0.3,-0.3,1.29,0.59,-0.59,287.99609,46.32943,13.835
690,3774,10068383,K00725.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,7.3049752,4.3e-06,-4.3e-06,169.64565,0.00041,-0.00041,0.95,0.19,-0.19,3.5445,,,10449,,,11.4,6.3,-6.3,753.0,,,,,,336.8,,,5244.0,80.0,-80.0,4.63,0.3,-0.3,0.73,0.4,-0.4,289.0058,47.040421,15.765
691,3777,10191070,K00727.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.2137451,9.2e-07,-9.2e-07,170.58195,0.00049,-0.00049,0.03,0.1,-0.1,4.0443,,,2183,,,3.1,2.2,-2.2,1265.0,,,,,,264.6,,,4877.0,74.0,-74.0,4.61,0.3,-0.3,0.69,0.37,-0.37,283.8757,47.231918,15.825
692,3795,10259031,K00731.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,7.0611441,6.5e-06,-6.5e-06,169.86393,0.00062,-0.00062,1.01,0.41,-0.41,2.3439,,,3577,,,10.8,3.8,-3.8,896.0,,,,,,173.2,,,5796.0,82.0,-82.0,4.55,0.3,-0.3,0.87,0.21,-0.21,284.67569,47.339211,15.592
693,3803,4659405,K00630.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.532402,1.2e-05,-1.2e-05,171.9264,0.0017,-0.0017,1.01,0.43,-0.43,2.3145,,,325,,,4.4,2.7,-2.7,1062.0,,,,,,51.7,,,5482.0,102.0,-102.0,4.39,0.3,-0.3,0.96,0.45,-0.45,293.08734,39.799122,13.932
694,3817,5181817,K00642.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.3504333,6.8e-06,-6.8e-06,171.4313,0.001,-0.001,0.64,0.55,-0.55,1.7895,,,223,,,1.47,0.71,-0.71,1110.0,,,,,,58.8,,,5996.0,73.0,-73.0,4.51,0.3,-0.3,0.93,0.38,-0.38,290.2316,40.356571,13.211
695,3819,5356593,K00644.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,45.9778722,4.1e-06,-4.1e-06,240.59676,6e-05,-6e-05,0.11,0.1,-0.1,7.3575,,,24652,,,35.8,4.2,-4.2,736.0,,,,,,3462.9,,,5688.0,101.0,-101.0,3.8,0.3,-0.3,2.33,0.28,-0.28,289.96674,40.532661,13.725
696,3828,5796186,K00651.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,42.559388,4e-05,-4e-05,204.12777,0.00063,-0.00063,1.21,0.83,-0.83,3.0428,,,2604,,,30.0,19.0,-19.0,564.0,,,,,,189.6,,,6180.0,92.0,-92.0,4.43,0.3,-0.3,1.05,0.41,-0.41,293.45612,41.048222,13.909
697,3858,6752502,K00667.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.305218,7.1e-06,-7.1e-06,170.45286,0.00056,-0.00056,0.52,0.29,-0.29,2.7209,,,9202,,,6.36,,,711.0,,,,,,216.7,,,4135.0,,,4.566,,,0.668,,,282.15491,42.234547,13.826
698,3860,6960445,K00669.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,5.0743732,5.2e-06,-5.2e-06,171.56478,0.0007,-0.0007,0.031,0.1,-0.1,4.1916,,,1015,,,2.8,1.9,-1.9,999.0,,,,,,194.3,,,5632.0,85.0,-85.0,4.47,0.3,-0.3,0.91,0.4,-0.4,295.19562,42.417068,13.842
